[765, 543, 987, 654, 876, 432, 234, 765, 543, 987, 876, 543, 654, 987, 432, 345, 876, 543, 987, 654]
[654, 432, 765, 543, 987, 876, 345, 543, 987, 654, 765, 876, 432, 987, 543, 654, 876, 765, 987, 543]
[876, 543, 234, 654, 987, 765, 432, 876, 543, 987, 345, 654, 765, 543, 876, 987, 432, 654, 543, 876]
[543, 876, 654, 987, 345, 765, 432, 876, 543, 987, 234, 654, 765, 543, 876, 987, 432, 765, 543, 654]
[987, 543, 765, 876, 654, 432, 345, 543, 987, 876, 765, 432, 654, 543, 987, 876, 234, 654, 765, 543]
[765, 543, 987, 654, 876, 432, 234, 765, 543, 987, 876, 543, 654, 987, 432, 345, 876, 543, 987, 654]
[654, 432, 765, 543, 987, 876, 345, 543, 987, 654, 765, 876, 432, 987, 543, 654, 876, 765, 987, 543]
[876, 543, 234, 654, 987, 765, 432, 876, 543, 987, 345, 654, 765, 543, 876, 987, 432, 654, 543, 876]
[543, 876, 654, 987, 345, 765, 432, 876, 543, 987, 234, 654, 765, 543, 876, 987, 432, 765, 543, 654]
[987, 543, 765, 876, 654, 432, 345, 543, 987, 876, 765, 432, 654, 543, 987, 876, 234, 654, 765, 543]
[765, 543, 987, 654, 876, 432, 234, 765, 543, 987, 876, 543, 654, 987, 432, 345, 876, 543, 987, 654]
[654, 432, 765, 543, 987, 876, 345, 543, 987, 654, 765, 876, 432, 987, 543, 654, 876, 765, 987, 543]

